pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,nn_umol_l,nh4_umol_l,heterotrophic_bacterioplankton_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
15,Mytilus,Day,1,Before,Removal,Before_Removal,end,7/8/2019,14:12:00,9.2,35.4,17.7,1.9159184,9.368853,720.75,0.84712278,0.786866486,0.444320387,1.280636734,0.112767578,0.134993599,0.159355412,0.687527906,0.840186818,0.150829351
16,Mytilus,Day,1,Before,Removal,Before_Removal,end,7/8/2019,14:29:00,6.1,35.1,21.4,23.28636,22.063926,341.38,1.023820255,0.966212381,1.622993821,1.658347227,0.113534885,0.130162304,0.127133941,0.306216099,0.183233143,0.056124697
Ocean,Ocean,Day,2,Before,Ocean,Before_Ocean,end,7/9/2019,14:03:00,10.16,34.5,13,1.8023264,2.5057524,760.33,1.16951533,0.959703014,0.878806206,1.583864555,0.031945959,0.037996236,0.032488874,0.131807327,0.080489878,0.002870565
17,Mytilus,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:12:00,9.43,33.8,17.5,4.0211568,21.842178,203.19,1.100676389,0.471442929,0.572038597,1.608350763,0.35729439,0.402818684,0.365973766,1.47336431,0.612647461,0.211746315
18,Phyllospadix,Day,2,Before,Control,Before_Control,end,7/9/2019,14:26:00,8.64,34.7,16.4,1.3328128,15.189738,569.61,1.012093954,0.839642494,0.849618761,1.46156702,0.075428394,0.085253789,0.084235054,0.315462409,0.195659385,0.05849409
19,Mytilus,Day,2,Before,Control,Before_Control,end,7/9/2019,14:16:00,9.81,34.4,16.1,4.6118352,19.624698,237.3,0.980692199,0.965358185,1.324635957,1.694951603,0.066641061,0.074230432,0.075691876,0.223473025,0.132262073,0.038239468
20,Phyllospadix,Day,2,Before,Control,Before_Control,end,7/9/2019,14:22:00,17.84,34.8,15.7,1.060192,7.6835682,537.99,1.279375599,0.98098192,0.858291297,1.269768612,0.077834894,0.094384341,0.073773754,0.272482838,0.155166778,0.062576998
21,Phyllospadix,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:19:00,10.98,34.2,17.4,3.1957216,11.752644,395.23,1.119865988,1.105383532,1.540713961,1.78492887,0.165829767,0.213955392,0.19105446,0.32677126,0.252391752,0.059265504
22,Phyllospadix,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:23:00,11.76,34.6,16.9,3.937856,11.198274,677.8,1.083914268,1.088493851,1.341266263,1.868130622,0.174569227,0.209997738,0.193740173,0.450954667,0.217874543,0.092850215
23,Mytilus,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:52:00,8.27,32.5,17.3,9.390272,18.626832,387.75,1.021788524,0.81221954,0.770378856,1.704094495,0.111132896,0.126950619,0.124243536,0.606691987,0.505374316,0.141899515
24,Mytilus,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:56:00,8.27,33.3,16.4,4.733,34.592688,263.83,0.74067422,0.80630475,1.308392626,1.389946124,0.16580671,0.147889725,0.199669059,0.690725945,0.274454839,0.10822607
25,Mytilus,Day,2,Before,Control,Before_Control,end,7/9/2019,14:58:00,5.38,34.5,15.1,6.3157152,25.833642,433.39,1.252646954,1.18323809,1.281993803,1.762253606,0.080891874,0.110983617,0.088599279,0.191251521,0.104749899,0.043270491
27,Phyllospadix,Day,2,Before,Control,Before_Control,start,7/9/2019,10:21:00,10.62,34.6,13,0.71260048,4.0912506,923.63,1.032967565,0.933833338,1.172671901,1.647968057,0.036369556,0.040781709,0.039480145,0.073382017,0.10389268,0.024533329
27,Phyllospadix,Day,2,Before,Control,Before_Control,end,7/9/2019,14:34:00,8.71,33.9,14.6,1.0299008,7.6724808,879.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Phyllospadix,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:36:00,12.23,34,14.9,0.8102896,2.3172666,1251.33,1.319981318,0.689780073,0.898918683,1.216241042,0.081924398,0.089678957,0.067939566,0.213367883,0.114252942,0.043662527
29,Phyllospadix,Day,2,Before,Control,Before_Control,end,7/9/2019,14:37:00,15.07,33.7,17.6,0.9352408,5.1611847,639.28,1.062610915,0.885349,1.557744669,1.686729349,0.094279661,0.109413472,0.102966637,0.190468267,0.117354208,0.064635169
30,Mytilus,Day,2,Before,Control,Before_Control,end,7/9/2019,14:48:00,6.29,33.8,15.6,13.403856,29.93598,312.02,1.081563293,0.930250602,1.558926484,1.682702493,0.096990851,0.108491301,0.100309711,0.214685328,0.136511532,0.044945489
31,Mytilus,Day,2,Before,Control,Before_Control,end,7/9/2019,14:47:00,8.03,33.5,16.4,8.784448,25.722768,180.76,1.002848835,0.879305547,1.235375841,1.730610239,0.069375265,0.074969664,0.074756695,0.168231696,0.115723015,0.030302531
32,Mytilus,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:49:00,6.62,34.5,15.1,8.254352,20.068194,281.94,0.860256768,1.000729946,1.580483522,1.518681944,0.070610915,0.077664518,0.090280624,0.234883129,0.141498029,0.035719185
Ocean,Ocean,Day,1,After,Ocean,After_Ocean,start,8/5/2019,7:36:00,7.032258726,35.3,10.4,8.481536,1.718547,369.19,1.167514152,0.915479944,0.71521646,1.59541618,0.028976434,0.034224703,0.029314166,0.071565669,0.06551725,0.035924353
1,Phyllospadix,Day,1,After,Control,After_Control,start,8/5/2019,7:45:00,7.452929318,35.5,10.8,14.804824,2.4503154,500.15,0.867392635,1.094691622,0.544521593,1.394791305,0.050265862,0.05321074,0.061345621,0.432932525,0.240355227,0.110229281
2,Phyllospadix,Day,1,After,Removal,After_Removal,start,8/5/2019,7:47:00,7.94365272,34.6,10.9,6.2399872,2.1176934,481.79,1.249459067,1.09466935,0.767786376,1.620036188,0.034320764,0.043007505,0.034420899,0.119387905,0.11310695,0.043689881
