pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,nn_umol_l,nh4_umol_l,heterotrophic_bacterioplankton_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
15,Mytilus,Day,1,After,Removal,After_Removal,end,8/5/2019,11:40:00,31.02,34.8,15.2,1.400968,2.494665,643.68,1.122866624,0.825350373,0.940259595,1.609330505,0.051636819,0.056414484,0.050241483,0.143698145,0.08628642,0.040298942
16,Mytilus,Day,1,After,Removal,After_Removal,end,8/5/2019,11:43:00,9.95,34.7,14.9,16.963072,6.9074502,617,1.077313944,0.82167353,0.857271308,1.640784799,0.034541052,0.037657495,0.034954987,0.085314472,0.090911358,0.036718599
Ocean,Ocean,Day,2,After,Ocean,After_Ocean,end,8/6/2019,11:31:00,11.55,35.1,11.7,8.481536,2.1398682,499.61,1.031145317,0.956854502,1.414475507,1.614653245,0.034941428,0.039944725,0.038738211,0.083848378,0.060787436,0.019552392
17,Mytilus,Day,2,After,Removal,After_Removal,end,8/6/2019,12:04:00,21.26,35.1,15.5,3.4607696,8.5594728,422,0.988413551,0.878996132,0.925382236,1.705776273,0.112808183,0.124337446,0.125794963,0.54547932,0.350906089,0.108429986
18,Phyllospadix,Day,2,After,Control,After_Control,end,8/6/2019,12:13:00,9.4,35.8,15,4.1196032,10.0119222,540.12,1.057998594,0.927520355,1.31343068,1.727877069,0.059383457,0.069924081,0.066090901,0.19266656,0.167037581,0.036971772
19,Mytilus,Day,2,After,Control,After_Control,end,8/6/2019,12:03:00,11.76,35.4,14,7.724256,14.746242,277.46,0.962301614,0.891694943,0.926544349,1.61742216,0.06364104,0.06711726,0.069746594,0.228016039,0.199169699,0.033379772
20,Phyllospadix,Day,2,After,Control,After_Control,end,8/6/2019,12:08:00,11.25,35.9,12.8,3.0897024,6.4972164,734.78,1.033271563,0.934990327,0.978737776,1.768849901,0.060482768,0.072376229,0.070045699,0.137346868,0.137295344,0.03261988
21,Phyllospadix,Day,2,After,Removal,After_Removal,end,8/6/2019,12:06:00,23.16,34.9,18.5,1.0753376,6.0648078,539.89,1.11330072,0.861981958,0.851583209,1.719456269,0.100438584,0.112211991,0.100792166,0.306616279,0.252034148,0.069196321
22,Phyllospadix,Day,2,After,Removal,After_Removal,end,8/6/2019,12:10:00,22.26,35.1,18.7,1.249512,5.765448,719.99,0.994222132,0.862225237,1.04202638,1.619927397,0.061927998,0.067095364,0.067485285,0.188368953,0.085623704,0.02514473
23,Mytilus,Day,2,After,Removal,After_Removal,end,8/6/2019,11:56:00,15.3,35.2,16.5,7.989304,8.9142696,734.37,0.833481378,1.187519707,0.90775141,2.033256401,0.157548344,0.178967595,0.214722968,1.264260555,0.626997069,0.200159552
24,Mytilus,Day,2,After,Removal,After_Removal,end,8/6/2019,11:55:00,17.76,35.2,14.7,3.1654304,6.597003,622.23,1.029725011,0.805781381,0.885959004,0.889599854,0.04341877,0.046982639,0.045626394,0.14394006,0.103451226,0.022255727
25,Mytilus,Day,2,After,Control,After_Control,end,8/6/2019,11:53:00,5,35.6,13.1,14.76696,33.927444,546.61,1.085773211,0.889603188,0.79668834,1.819819666,0.063398168,0.075103989,0.069170972,0.183927844,0.244008938,0.05198622
26,Phyllospadix,Day,2,After,Removal,After_Removal,end,8/6/2019,11:38:00,29.86,35.3,15.8,3.6500896,6.5304786,485.1,0.940160037,0.9319037,1.265718069,1.736089231,0.077879435,0.086288599,0.091780756,0.18753213,0.128162311,0.03330636
27,Phyllospadix,Day,2,After,Control,After_Control,end,8/6/2019,11:37:00,12.02,36.1,12.4,5.528144,9.5684262,489.77,1.272285414,0.844014707,0.784224389,1.710704041,0.081477881,0.095365655,0.074956181,0.266048624,0.133514557,0.047705483
28,Phyllospadix,Day,2,After,Removal,After_Removal,end,8/6/2019,11:35:00,26.73,35.3,14.6,1.4161136,6.153507,764.28,0.940906383,0.816892965,1.257185713,1.653127587,0.063651297,0.066484642,0.070660209,0.136269862,0.162517075,0.031416962
29,Phyllospadix,Day,2,After,Control,After_Control,end,8/6/2019,11:34:00,19.14,36.4,14.4,1.9954328,5.820885,1531.19,1.018738091,0.865155396,1.246658705,1.730338109,0.075286828,0.085799928,0.084221772,0.203304801,0.212293164,0.031504194
30,Mytilus,Day,2,After,Control,After_Control,end,8/6/2019,11:50:00,11.31,35.3,14.5,33.774688,252.79272,486.29,1.04441482,0.868588913,1.249031071,1.735760374,0.075694161,0.085173489,0.081551398,0.211408268,0.146737909,0.042378442
31,Mytilus,Day,2,After,Control,After_Control,end,8/6/2019,11:48:00,12.56,35.1,15.5,14.842688,21.398682,451.14,1.074297841,0.851399389,0.694527452,1.584424847,0.103667801,0.12056281,0.112224753,0.535410948,0.268812722,0.095873906
32,Mytilus,Day,2,After,Removal,After_Removal,end,8/6/2019,11:47:00,22.01,35.3,13,7.118432,5.155641,523.67,1.051507018,0.874685414,0.79426182,1.571872058,0.033347444,0.036797859,0.034995353,0.087548722,0.098004838,0.01456034
