PoolID,Foundation_spp,Removal_Control,Before_After,AdjMusselCover,AdjSurfgrassCover,MusselCover,SurfgrassCover,Diatoms,allCCA,macroalgae,consumers
29,Phyllospadix,Control,Before,1.635055592,62.78613473,2,76.8,0,19.40265969,7.434052758,2.289077829
30,Mytilus,Control,Before,74.00618628,0,81.51419558,0,0,1.139878566,3.849238172,4.737083286
31,Mytilus,Control,Before,80.05095287,0,96.27515771,0,0,1.23635637,6.081874266,8.934235832
32,Mytilus,Removal,Before,91.42531801,0,95.25444895,0,0,0.317636306,4.076832027,1.633130066
1,Phyllospadix,Control,After,0,47.36330761,0,79.11344853,0.269876397,16.28434177,23.99201166,1.295406704
2,Phyllospadix,Removal,After,0,0,0,0,27.54077792,18.31869511,63.36260979,4.265997491
3,Phyllospadix,Removal,After,0,0,0,0,44.92128748,12.34332698,77.21848992,2.015441693
4,Phyllospadix,Control,After,0,47.65184975,0,91.73166927,1.701851777,17.92617205,22.89395843,1.701851777
5,Phyllospadix,Control,After,0,44.23888348,0,87.20409469,0,15.8876988,26.92307692,2.596559559
6,Phyllospadix,Removal,After,0,0,0,0,53.32486907,1.428344707,82.78051103,1.190287256
7,Phyllospadix,Removal,After,0,0,0,0,0,56.16474993,17.35758224,2.915217973
8,Phyllospadix,Control,After,0.560515674,30.18777275,1.545253863,83.22295806,0,26.32421828,25.56752212,3.146895144
9,Mytilus,Control,After,63.68896243,0,93.4800326,0,0.377580597,1.790176241,27.06364454,5.480471309
10,Mytilus,Removal,After,0,0,0,0,65.82125604,0.18115942,75.51328502,6.974637681
11,Mytilus,Removal,After,0.661764706,0,0.335320417,0,68.82352941,0.294117647,87.94117647,3.014705882
12,Mytilus,Control,After,54.27118049,0,52.38740264,0,0,1.262936327,18.24241361,12.01543589
13,Mytilus,Control,After,82.59892086,0,91.32488193,0,0,3.338579137,3.776978417,5.496852518
14,Mytilus,Control,After,71.65799092,0,86.72922252,0,0,6.756008417,5.869974527,8.960017721
15,Mytilus,Removal,After,0,0,0,0,72.89348172,3.020667727,82.47217806,3.219395866
16,Mytilus,Removal,After,3.007143914,0,2.559681698,0,0,0.093486339,2.181347917,1.247263577
17,Mytilus,Removal,After,0,4.059382974,0,3.006872852,40.59382974,2.60960334,58.53630248,15.19369056
18,Phyllospadix,Control,After,4.3130227,45.20908005,3.65828942,38.34616944,0,6.80525687,3.536439665,8.344086022
19,Mytilus,Control,After,71.20190108,0,88.23852204,0,0.110699473,1.12175466,20.46611858,4.582958185
20,Phyllospadix,Control,After,0.684931507,46.54109589,1.274697259,86.61567878,0,12.76826484,24.53196347,1.095890411
21,Phyllospadix,Removal,After,1.464208243,0,0.981104651,0,54.5010846,10.76464208,76.05748373,1.382863341
22,Phyllospadix,Removal,After,0,0,0,0,0,10.23138338,0.571501959,0.27183801
23,Mytilus,Removal,After,0,0,0,0,0,23.08866556,1.367510495,7.613535174
24,Mytilus,Removal,After,0.308832613,0,0.185735513,0,0,8.462013589,12.84743669,19.4564546
25,Mytilus,Control,After,62.71368565,0,54.68483816,0,0,2.197909544,1.660642766,20.38683208
26,Phyllospadix,Removal,After,0,0,0,0,53.81646655,8.60313036,80.27444254,4.529373928
27,Phyllospadix,Control,After,0,34.71711976,0,71.86311787,0.532696547,7.310800882,35.39676708,3.471711976
28,Phyllospadix,Removal,After,0.329218107,0,0.385728062,0,4.444444444,18.80658436,58.51851852,7.098765432
29,Phyllospadix,Control,After,0.532521871,18.41004184,0.904392765,31.26614987,0.912894637,26.89235451,33.62495245,3.879802206
30,Mytilus,Control,After,68.94191277,0,84.279737,0,0,0.464502249,10.96225308,10.7324467
31,Mytilus,Control,After,79.10288359,0,95.61101549,0,0,1.590126973,5.945176219,12.50741664
32,Mytilus,Removal,After,0,0,0,0,91.11959895,0.5729291,94.31845309,1.193602292
